test_size,epochs,nblayers,fake,r2,evs,mae,time
0.96,17,1,1,0.8253181086405754,0.8256032440866266,0.2493296701102895,1.0692176818847656
0.96,18,1,1,0.7783197819214777,0.7805107768387309,0.2593109048692662,1.1090867519378662
0.96,19,1,1,0.8436888720623197,0.8436947643337246,0.25052896667068736,1.528444528579712
0.96,20,1,1,0.8561050943547073,0.856151735149105,0.2452095510289834,1.250253438949585
0.965,1,1,1,-0.12313678509305359,-0.0433009261614159,0.705720484920144,0.4281003475189209
0.965,2,1,1,-0.13004108409257165,-0.12995675565501097,0.7643900319420243,0.45761823654174805
0.965,3,1,1,0.08264495368015345,0.13202324687766587,0.6050506038029175,0.5374650955200195
0.965,4,1,1,0.29109256596437005,0.32349486138660943,0.5352456996418177,0.5596292018890381
0.965,5,1,1,0.44041812116063983,0.4404185089065529,0.5483428630219513,0.6040260791778564
0.965,6,1,1,0.2785860433022116,0.27969725445383764,0.5847156036949399,0.7708911895751953
0.965,7,1,1,0.3513424906282472,0.37692674703459106,0.4817262872332353,0.7273712158203125
0.965,8,1,1,0.5350070486136506,0.5360441105187841,0.4659361549825801,0.911954402923584
0.965,9,1,1,0.5754171596210753,0.5754175456480275,0.4308303350091599,0.7365365028381348
0.965,10,1,1,0.41021027778076513,0.45514634415457456,0.5945123224209651,0.8067185878753662
0.965,11,1,1,0.46359061184573125,0.46712748055103503,0.4815469620145056,0.8560779094696045
0.965,12,1,1,0.5036051644657491,0.523381053482917,0.434769344383539,0.8443009853363037
0.965,13,1,1,0.8045592714181684,0.8048259863067289,0.29330346153706394,0.9122557640075684
0.965,14,1,1,0.6453179426158044,0.6525658495038558,0.373052471588949,1.0099782943725586
0.965,15,1,1,0.7097157707082411,0.7166200158220364,0.3844199253793108,1.0636253356933594
0.965,16,1,1,0.8289854148936378,0.8290216409596072,0.2699093081729339,1.1037843227386475
0.965,17,1,1,0.8094054917954226,0.8094553391077605,0.2850968696171385,1.2927932739257812
0.965,18,1,1,0.837052236190617,0.8372094348429988,0.2762309937582581,1.1966743469238281
0.965,19,1,1,0.8285420565201199,0.828818425500845,0.2699626423892375,1.1956193447113037
0.965,20,1,1,0.8375226779264147,0.8377930271741263,0.2708125149520283,1.3613481521606445
0.97,1,1,1,-0.20927340857669186,-0.1219159312103193,0.8579706953624687,0.4605448246002197
0.97,2,1,1,0.031024867910873555,0.04481570805172863,0.7514722545271634,0.46283817291259766
0.97,3,1,1,0.06460673979629372,0.13050369615561452,0.7882716500212121,0.5641956329345703
0.97,4,1,1,0.37702398740294796,0.4178104567213191,0.6291526799033305,0.6354351043701172
0.97,5,1,1,0.24411107434102342,0.24466037623253456,0.6208528653943238,0.6340079307556152
0.97,6,1,1,0.3219060694060578,0.33623530964291415,0.6226736155940881,0.9813938140869141
0.97,7,1,1,0.2674717444988519,0.2675677279833305,0.6294698681249967,0.7222106456756592
0.97,8,1,1,0.5044588086667005,0.5085061110858835,0.44338354511272854,0.7935307025909424
0.97,9,1,1,0.49930454340930985,0.5050596793852256,0.5302140199677698,0.7917301654815674
0.97,10,1,1,0.6986353156256444,0.7092322219966969,0.3045268948615552,0.8288137912750244
0.97,11,1,1,0.5771686715001113,0.5774304547533033,0.4382966336315592,0.8912680149078369
0.97,12,1,1,0.6457185568010921,0.6523424052529156,0.35205175110731035,0.8920655250549316
0.97,13,1,1,0.7373346188984001,0.7415864884037089,0.36530161727878446,0.9308536052703857
0.97,14,1,1,0.7213575688798589,0.7331879075242796,0.3127775671563539,1.028254508972168
0.97,15,1,1,0.7891362470071399,0.7892895945575932,0.2837905547065561,1.1672534942626953
0.97,16,1,1,0.6790853799350338,0.6854048414883851,0.35998632123891006,1.074307918548584
0.97,17,1,1,0.6879064441730662,0.6961815190421701,0.35156196482728364,1.2347471714019775
0.97,18,1,1,0.806846330944238,0.8068512598647574,0.28081435481690703,1.2027592658996582
0.97,19,1,1,0.7955241081003406,0.7956609905947625,0.3089980725354042,1.2129237651824951
0.97,20,1,1,0.7905302685109368,0.7943039812205304,0.32093671402074214,1.3528878688812256
0.975,1,1,1,0.11229351163442636,0.14438432457661565,0.6762942101483704,0.4271862506866455
0.975,2,1,1,-0.1423898119668463,-0.14231227678312708,0.7762873961622917,0.45064234733581543
0.975,3,1,1,-0.05047750190099487,-0.03665892995903963,0.7904570532211598,0.5216500759124756
0.975,4,1,1,0.13608759993798503,0.17890005272136889,0.7418499427616538,0.7432177066802979
0.975,5,1,1,0.2803622394951718,0.281935471304506,0.6304618752435047,0.6359529495239258
0.975,6,1,1,0.3273251235039777,0.3412511507108309,0.6098041489185344,0.654611349105835
0.975,7,1,1,0.34687968234470434,0.35128845071340387,0.5809390639717735,0.6616044044494629
0.975,8,1,1,0.431081983493688,0.4427140774069587,0.5526811626714302,0.6884646415710449
0.975,9,1,1,0.2511461043011479,0.2814555043039437,0.5518245669258047,0.8062319755554199
0.975,10,1,1,0.7032954302819365,0.7061668198029533,0.38401092671451276,0.8462324142456055
0.975,11,1,1,0.6221678752183566,0.6254906947873645,0.3832521296183308,0.8741257190704346
0.975,12,1,1,0.5522710408022282,0.5550402414419111,0.42882428439334397,0.9843769073486328
0.975,13,1,1,0.5043945500559783,0.5311901085150037,0.4094160504266694,1.185305118560791
0.975,14,1,1,0.6219655861938189,0.6314833963078073,0.3907708020372696,1.0290391445159912
0.975,15,1,1,0.6119019731307902,0.6148489623068478,0.4099024658810897,1.0275771617889404
0.975,16,1,1,0.7436966723544669,0.7528505199041378,0.2913177264055309,1.087266445159912
0.975,17,1,1,0.7894947542841466,0.7895295498407451,0.29732374458839567,1.1091597080230713
0.975,18,1,1,0.7497039069849314,0.7498889237460835,0.325380187490717,1.1246528625488281
0.975,19,1,1,0.7762063261184236,0.7773917793712699,0.28622921473039725,1.1406795978546143
0.975,20,1,1,0.8465449256047247,0.8497938351483266,0.2650088294643164,1.1990916728973389
0.98,1,1,1,0.07625648415726993,0.10212064990763303,0.6502985182774372,0.41915345191955566
0.98,2,1,1,-0.14702882789174798,-0.13952178398801918,0.8076832165864339,0.6882822513580322
0.98,3,1,1,0.09997227206934312,0.10197508903151098,0.710942020508837,0.49132251739501953
0.98,4,1,1,0.07261768823723358,0.07343210147301693,0.7060740364123204,0.5469956398010254
0.98,5,1,1,0.25508529080721754,0.25526579192954413,0.638769983870116,0.5808005332946777
0.98,6,1,1,0.5434607331496977,0.544399819502423,0.4794682886751541,0.634873628616333
0.98,7,1,1,0.4514769446906097,0.45234670738702987,0.538725003769801,0.6662416458129883
0.98,8,1,1,0.4409275534509459,0.44792324776273096,0.5661715176256049,0.7142224311828613
0.98,9,1,1,0.4967167419327614,0.5258827470183395,0.42979542605724974,0.8084146976470947
0.98,10,1,1,0.5026685577618333,0.5195067840830181,0.4603724627306235,0.7888453006744385
0.98,11,1,1,0.6148787323725544,0.6167905339080736,0.404177631977689,1.0777804851531982
0.98,12,1,1,0.554794540559565,0.5554336246388236,0.437450936159695,0.9936747550964355
0.98,13,1,1,0.5629760693964265,0.5710152614434028,0.41774918743853323,0.943737268447876
0.98,14,1,1,0.5226236108694362,0.5243424521515787,0.46402386866967094,0.9954566955566406
0.98,15,1,1,0.5133576431954954,0.518589923451142,0.4579677451347854,1.104419231414795
0.98,16,1,1,0.7833355674693819,0.7833511388909556,0.2777065979514963,1.1387970447540283
0.98,17,1,1,0.5601944256698672,0.5894497230047239,0.40467347141343946,1.0816569328308105
0.98,18,1,1,0.5783258517570974,0.6148276977944847,0.36513496141876933,1.1644291877746582
0.98,19,1,1,0.7563623502082353,0.7651027932411666,0.2896665953737804,1.1598167419433594
0.98,20,1,1,0.6290027175014423,0.6623621942912927,0.349977297866627,1.3296208381652832
0.985,1,1,1,-0.0839855009406707,-0.002994641465893899,0.6964331760201015,0.44518089294433594
0.985,2,1,1,-0.3143381640532612,-0.23342651735831121,0.9308601347600859,0.4812028408050537
0.985,3,1,1,-0.15376968228742283,0.003721887992925166,0.6767589684481287,0.503028154373169
0.985,4,1,1,0.03710128666691126,0.09641329234769946,0.6480736728497989,0.5318737030029297
0.985,5,1,1,-0.058311722607110594,0.05744458136928887,0.8387982539684761,0.6034448146820068
0.985,6,1,1,0.36690491263651515,0.3669199884187828,0.5692207548804242,0.6321592330932617
