test_size,epochs,nblayers,fake,r2,evs,mae,time
0.975,1,1,1,-0.4634228372729845,-0.0024889109512966634,0.9091485463721716,0.4361870288848877
0.975,2,1,1,-0.00460822616303691,0.023959471512569608,0.790380168623874,0.5059354305267334
0.975,3,1,1,0.2641919648120242,0.27720374101328804,0.6775789656047099,0.5706186294555664
0.975,4,1,1,0.4924174745532418,0.4970241138572642,0.542245757314508,0.688330888748169
0.975,5,1,1,0.42256771025557494,0.42328387762351505,0.5646366347501317,0.9273536205291748
0.975,6,1,1,0.3307420295216962,0.34406572691682624,0.622005645249256,0.8444488048553467
0.975,7,1,1,0.6051395474739287,0.6066357958642723,0.4434802512810427,0.9006969928741455
0.975,8,1,1,0.6303580598167171,0.6427280532747534,0.4295152273086377,1.0565361976623535
0.975,9,1,1,0.6354368086786164,0.6380107349930038,0.4269028458735147,1.095567226409912
0.975,10,1,1,0.572695862516125,0.5736908849915252,0.4908925127420134,1.057727336883545
0.975,11,1,1,0.7352278326427844,0.7362136427906776,0.37309696393073727,1.2698450088500977
0.975,12,1,1,0.6790954713772466,0.6791069372128882,0.4014116774576878,1.2112722396850586
0.975,13,1,1,0.6843210291334321,0.6843592888758288,0.38565542047816376,1.323704719543457
0.975,14,1,1,0.7312267650725416,0.7312280360056431,0.3622837966164067,1.4898419380187988
0.975,15,1,1,0.7625783388512002,0.7632271926861625,0.33756980640943923,1.3537516593933105
0.975,16,1,1,0.7409547294857295,0.7415942553262737,0.3614333252364965,1.380976915359497
0.975,17,1,1,0.7042227171209203,0.7051061259735543,0.38476412555668776,1.4401710033416748
0.975,18,1,1,0.7775458922521825,0.77807195760982,0.3403176424147213,1.5410711765289307
0.975,19,1,1,0.7901869587685194,0.7905311637404787,0.33437128857622883,1.628427267074585
0.975,20,1,1,0.8049140235418104,0.8056230570085205,0.30244486535995885,1.6422765254974365
0.98,1,1,1,-0.4314691119649283,-0.39309728565449475,0.9240632568632156,0.4698514938354492
0.98,2,1,1,0.08192401248231695,0.0819910235533522,0.7554715101659132,0.6865406036376953
0.98,3,1,1,0.07596972674175329,0.07628536683547227,0.7562233578984195,0.563737154006958
0.98,4,1,1,0.3318353232609298,0.3389599102683106,0.6369731703908903,0.6810770034790039
0.98,5,1,1,0.07266684594433692,0.14141000735232745,0.7497247032107448,0.7087705135345459
0.98,6,1,1,0.42844073365214186,0.43253832470015086,0.5708102032025613,0.737480878829956
0.98,7,1,1,0.6285858962652384,0.630579644686764,0.4439314728804806,0.8078477382659912
0.98,8,1,1,0.4949543629165857,0.49591929483068675,0.523087997898977,0.8871669769287109
0.98,9,1,1,0.580062008916477,0.5830823660423644,0.45108979616689326,0.9260258674621582
0.98,10,1,1,0.6130633557343985,0.6156060070684034,0.4502902786564315,0.9933357238769531
0.98,11,1,1,0.6563853295690107,0.6564342190968706,0.41780799165546517,1.0681507587432861
0.98,12,1,1,0.5906901791445165,0.5981164118406808,0.44339024133622157,1.3468058109283447
0.98,13,1,1,0.5828159595054043,0.5922182115990973,0.4643166301593265,1.1886024475097656
0.98,14,1,1,0.7179466289825777,0.7194507446743144,0.3808668960289718,1.303128719329834
0.98,15,1,1,0.6324307841601935,0.6329002217962563,0.42701364155597976,1.377009391784668
0.98,16,1,1,0.7153534789981824,0.717843852730853,0.3655456352932974,1.523695945739746
0.98,17,1,1,0.7254273243979503,0.7266114268449451,0.35999497403341757,1.527491569519043
0.98,18,1,1,0.7561079730054948,0.7579068271080615,0.32694362033345875,1.62892746925354
0.98,19,1,1,0.7629515936474378,0.7654110868689896,0.33483513813237314,1.6174325942993164
0.98,20,1,1,0.6625414077533474,0.6628732010054743,0.40815735168231576,1.771223783493042
0.985,1,1,1,0.03983442117539393,0.08612450434662222,0.7317644402331214,0.6674838066101074
0.985,2,1,1,0.18088638515311328,0.20019937460827097,0.7145144851052003,0.544588565826416
0.985,3,1,1,0.39555770310363214,0.4005275512211538,0.5852847733844538,0.5754785537719727
0.985,4,1,1,0.18192389632200656,0.1847387631259927,0.6886167636931845,0.6548218727111816
0.985,5,1,1,0.3467773215488965,0.37547292094842244,0.6041944283552969,0.7290384769439697
0.985,6,1,1,0.36927543897220516,0.39714975464488145,0.5730268967106543,0.7818074226379395
0.985,7,1,1,0.1994750100960334,0.26332654997719573,0.6603031569388501,0.8486442565917969
0.985,8,1,1,0.5722504394425441,0.5763397774323035,0.4760282203374371,0.9612369537353516
0.985,9,1,1,0.40898759586511657,0.4106709533084102,0.5837630497481475,1.204948902130127
0.985,10,1,1,0.5874270656282011,0.59149801966263,0.45509829902218435,1.0583224296569824
0.985,11,1,1,0.6292009738356238,0.6304512696902217,0.4421543369153049,1.1281607151031494
